gene_id	accession_number	gene_desscritpion	X1C	X1O1	X1D1	X1OD1	X1O24	X1D24	X1OD24	X2C	X2O1	X2D1	X2OD1	X2O24	X2D24	X2OD24	X3C	X3O1	X3D1	X3OD1	X3O24	X3D24	X3OD24
TRINITY_DN381818_c0_g2	2P4U_A	A_Chain_A,_Crystal_Structure_Of_Acid_Phosphatase_1_(Acp1)_From_Mus_Musculus<>2P4U_B_Chain_B,_Crystal_Structure_Of_Acid_Phosphatase_1_(Acp1)_From_Mus_Musculus<>2P4U_C_Chain_C,_Crystal_Structure_Of_Acid_Phosphatase_1_(Acp1)_From_Mus_Musculus<>2P4U_D_Chain_D,_Crystal_Structure_Of_Acid_Phosphatase_1_(Acp1)_From_Mus_Musculus	0	0	0	0	0	11	0	0	8	0	0	0	16	5	0	0	0	0	0	17	9
TRINITY_DN400788_c0_g5	2XCO_A	A_Chain_A,_The_3.1a_Crystal_Structure_Of_The_Catalytic_Core_(B'a'_Region)_Of_Staphylococcus_Aureus_Dna_Gyrase<>2XCQ_A_Chain_A,_The_2.98a_Crystal_Structure_Of_The_Catalytic_Core_(B'a'_Region)_Of_Staphylococcus_Aureus_Dna_Gyrase	0	0	0	0	0	18	0	0	5	0	5	5	11	0	0	0	0	0	0	0	0
TRINITY_DN397765_c0_g3	4X7J_A	A_Chain_A,_Co-crystal_Structure_Of_Perk_With_2-amino-n-[4-methoxy-3-_(trifluoromethyl)phenyl]-4-methyl-3-[2-(methylamino)quinazolin-6-_Yl]benzamide_Inhibitor<>4X7K_A_Chain_A,_Co-crystal_Structure_Of_Perk_Bound_To_4-{2-amino-3-[5-fluoro-2-_(methylamino)quinazolin-6-yl]-4-methylbenzoyl}-1-methyl-2,5-diphenyl-_1,2-dihydro-3h-pyrazol-3-one_Inhibitor<>4X7L_A_Chain_A,_Co-crystal_Structure_Of_Perk_Bound_To_4-{2-amino-4-methyl-3-[2-_(methylamino)-1,3-benzothiazol-6-yl]benzoyl}-1-methyl-2,5-diphenyl-1,_2-dihydro-3h-pyrazol-3-one_Inhibitor<>4X7N_A_Chain_A,_Co-crystal_Structure_Of_Perk_Bound_To_4-[2-amino-4-methyl-3-(2-_Methylquinolin-6-yl)benzoyl]-1-methyl-2,5-diphenyl-1,2-dihydro-3h-_Pyrazol-3-one_Inhibitor<>4X7O_A_Chain_A,_Co-crystal_Structure_Of_Perk_Bound_To_1-[5-(4-amino-2,7-dimethyl-7h-_Pyrrolo[2,3-d]pyrimidin-5-yl)-2,3-dihydro-1h-indol-1-yl]-2-[3-fluoro-_5-(trifluoromethyl)phenyl]ethanone_Inhibitor<>4X7H_A_Chain_A,_Co-crystal_Structure_Of_Perk_Bound_To_N-{5-[(6,7-dimethoxyquinolin-4-_Yl)oxy]pyridin-2-yl}-1-methyl-3-oxo-2-phenyl-5-(pyridin-4-yl)-2,3-_Dihydro-1h-pyrazole-4-carboxamide_Inhibitor	0	0	0	7	5	0	0	0	0	0	9	13	0	0	0	0	15	0	0	26	0
TRINITY_DN376473_c0_g1	AAA29119	alpha_collagen,_partial_[Ephydatia_muelleri]	0	20	5	0	25	46	37	0	22	23	117	254	85	131	6	13	14	7	49	347	160
TRINITY_DN392477_c5_g10	AAA85474	beta-2_tubulin,_partial_[Lytechinus_pictus]	0	0	16	9	6	0	21	22	14	16	11	5	0	22	0	156	0	202	19	0	0
TRINITY_DN398165_c0_g1	AAB01767	unknown,_partial_[Naegleria_fowleri]	0	0	7	13	0	0	0	0	0	0	0	0	0	5	6	6	9	6	0	15	12
TRINITY_DN396126_c0_g1	AAB04117	homeobox-containing_protein_[Ephydatia_fluviatilis]	0	18	0	0	0	9	8	0	22	0	6	13	10	0	0	0	0	0	0	15	7
TRINITY_DN383229_c2_g1	AAB21004	thymosin_beta_12_[Perca_fluviatilis]	0	88	10	16	452	425	364	0	44	5	438	1127	587	487	5	0	0	6	280	698	852
TRINITY_DN381919_c3_g1	AAB66244	cytoplasmic_actin_type_II,_partial_[Heliocidaris_erythrogramma]	337	284	563	2054	396	236	280	440	269	598	666	459	313	502	553	557	717	611	496	345	774
TRINITY_DN388240_c7_g1	AAB66244	cytoplasmic_actin_type_II,_partial_[Heliocidaris_erythrogramma]	5	22	0	0	63	35	52	0	18	0	58	47	59	67	0	0	5	0	24	163	43
TRINITY_DN397463_c15_g5	AAB66300	cytoplasmic_actin_LvC4,_partial_[Lytechinus_variegatus]	0	5	7	14	5	0	7	0	0	5	0	0	0	10	0	0	5	0	6	18	0
TRINITY_DN386050_c6_g1	AAB71891	aggregation_factor_protein_3,_form_E,_partial_[Clathria_prolifera]	6	10	25	20	5	323	13	0	5	10	45	249	420	47	34	25	27	0	283	306	528
TRINITY_DN399553_c5_g1	AAC05362	heat-shock_protein_Hsp70,_partial_[Chondrosia_reniformis]	51	201	47	29	270	623	288	39	318	79	289	429	537	190	31	47	93	57	107	402	1332
TRINITY_DN389916_c0_g2	AAC33162	aggregation_factor_protein_3,_form_C,_partial_[Clathria_prolifera]	7	6	0	0	8	0	0	5	0	6	5	0	0	0	0	0	0	0	0	0	0
TRINITY_DN392138_c3_g6	AAC33162	aggregation_factor_protein_3,_form_C,_partial_[Clathria_prolifera]	0	22	0	0	16	85	26	0	44	0	133	246	115	111	0	0	5	0	64	185	179
TRINITY_DN393715_c1_g6	AAC33162	aggregation_factor_protein_3,_form_C,_partial_[Clathria_prolifera]	0	17	0	0	0	6	0	0	13	0	25	0	0	0	0	0	0	0	0	0	20
TRINITY_DN384200_c4_g3	AAC33163	aggregation_factor_protein_3,_form_D,_partial_[Clathria_prolifera]	0	84	0	0	37	217	41	0	126	0	171	242	195	81	0	0	0	0	85	218	269
TRINITY_DN384200_c4_g6	AAC33163	aggregation_factor_protein_3,_form_D,_partial_[Clathria_prolifera]	0	0	0	0	0	36	0	0	0	0	36	16	32	8	0	0	0	0	10	38	75
TRINITY_DN392153_c2_g3	AAC33163	aggregation_factor_protein_3,_form_D,_partial_[Clathria_prolifera]	0	0	0	0	5	7	0	0	0	0	18	0	0	25	0	0	0	0	0	11	15
TRINITY_DN395869_c2_g2	AAC33163	aggregation_factor_protein_3,_form_D,_partial_[Clathria_prolifera]	0	275	0	0	54	135	39	0	408	5	398	32	149	72	0	0	0	0	10	355	81
TRINITY_DN399547_c0_g1	AAC33163	aggregation_factor_protein_3,_form_D,_partial_[Clathria_prolifera]	0	7	0	5	14	55	18	0	0	0	30	223	48	20	0	0	0	0	20	60	35
TRINITY_DN329543_c0_g1	AAD31042	heat_shock_protein_70_[Crassostrea_gigas]<>BAD15287.1_71kDa_heat_shock_connate_protein_[Crassostrea_gigas]	0	0	0	0	0	0	0	0	0	14	0	10	0	0	0	21	19	0	0	16	0
TRINITY_DN390476_c0_g3	AAD43038	myelin_gene_expression_factor_2_[Homo_sapiens]	0	26	0	0	22	14	8	0	29	0	15	13	6	5	0	0	0	0	13	38	43
TRINITY_DN380779_c7_g2	AAF09840	hypothetical_protein_DR_0254_[Deinococcus_radiodurans_R1]	0	11	0	0	12	138	0	0	11	0	11	161	243	0	0	0	0	0	20	0	0
TRINITY_DN388121_c0_g7	AAF09840	hypothetical_protein_DR_0254_[Deinococcus_radiodurans_R1]	0	21	0	0	14	123	27	0	34	0	87	116	140	14	0	0	0	0	16	56	46
TRINITY_DN396842_c9_g4	AAF09840	hypothetical_protein_DR_0254_[Deinococcus_radiodurans_R1]	9	244	9	7	153	558	149	0	281	12	507	1296	627	138	14	12	13	19	222	873	329
TRINITY_DN398635_c3_g3	AAF09840	hypothetical_protein_DR_0254_[Deinococcus_radiodurans_R1]	47	880	58	43	634	472	696	0	1186	93	1328	586	490	661	33	52	52	32	258	4901	930
TRINITY_DN384874_c1_g5	AAF21819	silicatein_beta_[Tethya_aurantium]	0	0	0	0	26	17	14	0	0	0	13	63	11	14	0	0	0	0	0	127	0
TRINITY_DN382286_c6_g4	AAG17452	beta-actin_[Hypophthalmichthys_molitrix]	13	10	21	5	6	9	11	8	8	18	7	0	0	13	5	0	14	6	9	0	0
TRINITY_DN397185_c0_g1	AAH34598	C1orf212_protein_[Homo_sapiens]	0	22	0	0	15	0	0	0	13	6	14	13	0	11	0	0	0	0	0	22	5
TRINITY_DN398715_c0_g3	AAH52834	NAD(P)_dependent_steroid_dehydrogenase-like_[Mus_musculus]	0	21	0	0	0	9	0	0	27	0	25	29	6	0	0	0	0	0	10	5	0
TRINITY_DN380865_c0_g1	AAH61665	MGC68650_protein_[Xenopus_laevis]	20	379	44	27	143	230	196	45	305	43	551	257	300	193	19	31	45	8	141	71	248
TRINITY_DN399196_c1_g3	AAH88815	urod_protein_[Xenopus_tropicalis]	5	20	0	18	26	28	24	0	10	0	73	37	80	81	10	10	0	0	15	118	192
TRINITY_DN396416_c0_g4	AAI27437	LOC100036804_protein,_partial_[Xenopus_laevis]	63	224	80	86	84	54	95	55	154	52	107	60	80	97	68	55	25	52	85	170	310
TRINITY_DN397715_c3_g13	AAK12359	elongation_factor-2,_partial_[Alitta_virens]	18	0	6	6	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0
TRINITY_DN383581_c2_g1	AAL31950	CDH1-D,_partial_[Gallus_gallus]	1315	1849	1159	852	1526	969	1650	1871	1497	1592	1042	541	705	1896	672	822	1108	1039	1138	3869	1521
TRINITY_DN392315_c1_g3	AAL31950	CDH1-D,_partial_[Gallus_gallus]	0	5	5	0	0	0	6	0	5	5	0	0	0	0	0	0	0	6	5	160	7
TRINITY_DN316563_c0_g1	AAM06214	transposase_[Methanosarcina_acetivorans_C2A]	0	0	0	0	5	5	0	0	0	0	0	20	12	0	0	0	0	0	0	17	0
TRINITY_DN377625_c10_g1	AAM51193	polyubiquitin,_partial_[Haynesina_germanica]	0	0	0	0	0	59	0	0	0	0	30	27	119	0	0	0	0	0	10	0	0
TRINITY_DN381455_c0_g1	AAM68968	glyceraldehyde-3-phosphate_dehydrogenase,_partial_[Pyrocystis_lunula]	0	5	0	17	0	0	0	0	0	7	0	0	10	0	36	15	7	0	0	0	0
TRINITY_DN384701_c0_g1	AAM68969	glyceraldehyde-3-phosphate_dehydrogenase,_partial_(chloroplast)_[Pyrocystis_noctiluca]	0	0	19	19	0	0	0	0	0	34	0	0	5	6	92	26	44	14	0	0	0
TRINITY_DN373087_c0_g1	AAM77465	oxygen_evolving_enhancer_1_precursor_[Heterocapsa_triquetra]	0	0	0	0	5	0	0	0	0	6	8	0	0	0	11	6	0	0	0	0	0
TRINITY_DN387886_c3_g5	AAM97523	basic_chromosomal_protein_HCC4,_partial_[Crypthecodinium_cohnii]	18	32	113	26	57	26	17	54	51	100	72	41	30	75	43	25	48	35	26	0	5
TRINITY_DN378823_c1_g4	AAN05591	ribosomal_protein_L7,_partial_[Argopecten_irradians]	0	0	14	32	0	0	6	20	6	26	0	0	0	13	0	109	0	279	11	0	0
TRINITY_DN376594_c6_g1	AAO34720	hypothetical_protein_CTC_00065_[Clostridium_tetani_E88]<>AAO34742.1_hypothetical_protein_CTC_00089_[Clostridium_tetani_E88]<>AAO34862.1_hypothetical_protein_CTC_00214_[Clostridium_tetani_E88]<>AAO35169.1_hypothetical_protein_CTC_00549_[Clostridium_tetani_E88]<>CAO85713.1_hypothetical_CTC00065-like_protein_[Clostridium_sp.]	0	71	0	0	26	26	12	0	81	0	90	151	52	34	0	0	0	0	10	270	255
