gene_id	accession_number	X1C	X1O1	X1D1	X1OD1	X1O24	X1D24	X1OD24	X2C	X2O1	X2D1	X2OD1	X2O24	X2D24	X2OD24	X3C	X3O1	X3D1	X3OD1	X3O24	X3D24	X3OD24
TRINITY_DN381818_c0_g2	2P4U_A	0	0	0	0	0	11	0	0	8	0	0	0	16	5	0	0	0	0	0	17	9
TRINITY_DN400788_c0_g5	2XCO_A	0	0	0	0	0	18	0	0	5	0	5	5	11	0	0	0	0	0	0	0	0
TRINITY_DN397765_c0_g3	4X7J_A	0	0	0	7	5	0	0	0	0	0	9	13	0	0	0	0	15	0	0	26	0
TRINITY_DN376473_c0_g1	AAA29119	0	20	5	0	25	46	37	0	22	23	117	254	85	131	6	13	14	7	49	347	160
TRINITY_DN392477_c5_g10	AAA85474	0	0	16	9	6	0	21	22	14	16	11	5	0	22	0	156	0	202	19	0	0
TRINITY_DN398165_c0_g1	AAB01767	0	0	7	13	0	0	0	0	0	0	0	0	0	5	6	6	9	6	0	15	12
TRINITY_DN396126_c0_g1	AAB04117	0	18	0	0	0	9	8	0	22	0	6	13	10	0	0	0	0	0	0	15	7
TRINITY_DN383229_c2_g1	AAB21004	0	88	10	16	452	425	364	0	44	5	438	1127	587	487	5	0	0	6	280	698	852
TRINITY_DN381919_c3_g1	AAB66244	337	284	563	2054	396	236	280	440	269	598	666	459	313	502	553	557	717	611	496	345	774
TRINITY_DN388240_c7_g1	AAB66244	5	22	0	0	63	35	52	0	18	0	58	47	59	67	0	0	5	0	24	163	43
TRINITY_DN397463_c15_g5	AAB66300	0	5	7	14	5	0	7	0	0	5	0	0	0	10	0	0	5	0	6	18	0
TRINITY_DN386050_c6_g1	AAB71891	6	10	25	20	5	323	13	0	5	10	45	249	420	47	34	25	27	0	283	306	528
TRINITY_DN399553_c5_g1	AAC05362	51	201	47	29	270	623	288	39	318	79	289	429	537	190	31	47	93	57	107	402	1332
TRINITY_DN389916_c0_g2	AAC33162	7	6	0	0	8	0	0	5	0	6	5	0	0	0	0	0	0	0	0	0	0
TRINITY_DN392138_c3_g6	AAC33162	0	22	0	0	16	85	26	0	44	0	133	246	115	111	0	0	5	0	64	185	179
TRINITY_DN393715_c1_g6	AAC33162	0	17	0	0	0	6	0	0	13	0	25	0	0	0	0	0	0	0	0	0	20
TRINITY_DN384200_c4_g3	AAC33163	0	84	0	0	37	217	41	0	126	0	171	242	195	81	0	0	0	0	85	218	269
TRINITY_DN384200_c4_g6	AAC33163	0	0	0	0	0	36	0	0	0	0	36	16	32	8	0	0	0	0	10	38	75
TRINITY_DN392153_c2_g3	AAC33163	0	0	0	0	5	7	0	0	0	0	18	0	0	25	0	0	0	0	0	11	15
TRINITY_DN395869_c2_g2	AAC33163	0	275	0	0	54	135	39	0	408	5	398	32	149	72	0	0	0	0	10	355	81
TRINITY_DN399547_c0_g1	AAC33163	0	7	0	5	14	55	18	0	0	0	30	223	48	20	0	0	0	0	20	60	35
TRINITY_DN329543_c0_g1	AAD31042	0	0	0	0	0	0	0	0	0	14	0	10	0	0	0	21	19	0	0	16	0
TRINITY_DN390476_c0_g3	AAD43038	0	26	0	0	22	14	8	0	29	0	15	13	6	5	0	0	0	0	13	38	43
TRINITY_DN380779_c7_g2	AAF09840	0	11	0	0	12	138	0	0	11	0	11	161	243	0	0	0	0	0	20	0	0
TRINITY_DN388121_c0_g7	AAF09840	0	21	0	0	14	123	27	0	34	0	87	116	140	14	0	0	0	0	16	56	46
TRINITY_DN396842_c9_g4	AAF09840	9	244	9	7	153	558	149	0	281	12	507	1296	627	138	14	12	13	19	222	873	329
TRINITY_DN398635_c3_g3	AAF09840	47	880	58	43	634	472	696	0	1186	93	1328	586	490	661	33	52	52	32	258	4901	930
TRINITY_DN384874_c1_g5	AAF21819	0	0	0	0	26	17	14	0	0	0	13	63	11	14	0	0	0	0	0	127	0
TRINITY_DN382286_c6_g4	AAG17452	13	10	21	5	6	9	11	8	8	18	7	0	0	13	5	0	14	6	9	0	0
TRINITY_DN397185_c0_g1	AAH34598	0	22	0	0	15	0	0	0	13	6	14	13	0	11	0	0	0	0	0	22	5
TRINITY_DN398715_c0_g3	AAH52834	0	21	0	0	0	9	0	0	27	0	25	29	6	0	0	0	0	0	10	5	0
TRINITY_DN380865_c0_g1	AAH61665	20	379	44	27	143	230	196	45	305	43	551	257	300	193	19	31	45	8	141	71	248
TRINITY_DN399196_c1_g3	AAH88815	5	20	0	18	26	28	24	0	10	0	73	37	80	81	10	10	0	0	15	118	192
TRINITY_DN396416_c0_g4	AAI27437	63	224	80	86	84	54	95	55	154	52	107	60	80	97	68	55	25	52	85	170	310
TRINITY_DN397715_c3_g13	AAK12359	18	0	6	6	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0
TRINITY_DN383581_c2_g1	AAL31950	1315	1849	1159	852	1526	969	1650	1871	1497	1592	1042	541	705	1896	672	822	1108	1039	1138	3869	1521
TRINITY_DN392315_c1_g3	AAL31950	0	5	5	0	0	0	6	0	5	5	0	0	0	0	0	0	0	6	5	160	7
TRINITY_DN316563_c0_g1	AAM06214	0	0	0	0	5	5	0	0	0	0	0	20	12	0	0	0	0	0	0	17	0
TRINITY_DN377625_c10_g1	AAM51193	0	0	0	0	0	59	0	0	0	0	30	27	119	0	0	0	0	0	10	0	0
TRINITY_DN381455_c0_g1	AAM68968	0	5	0	17	0	0	0	0	0	7	0	0	10	0	36	15	7	0	0	0	0
TRINITY_DN384701_c0_g1	AAM68969	0	0	19	19	0	0	0	0	0	34	0	0	5	6	92	26	44	14	0	0	0
TRINITY_DN373087_c0_g1	AAM77465	0	0	0	0	5	0	0	0	0	6	8	0	0	0	11	6	0	0	0	0	0
TRINITY_DN387886_c3_g5	AAM97523	18	32	113	26	57	26	17	54	51	100	72	41	30	75	43	25	48	35	26	0	5
TRINITY_DN378823_c1_g4	AAN05591	0	0	14	32	0	0	6	20	6	26	0	0	0	13	0	109	0	279	11	0	0
TRINITY_DN376594_c6_g1	AAO34720	0	71	0	0	26	26	12	0	81	0	90	151	52	34	0	0	0	0	10	270	255
TRINITY_DN382355_c2_g1	AAO34720	0	83	0	6	51	449	77	0	117	0	143	702	443	106	0	11	0	0	67	149	186
TRINITY_DN384043_c13_g1	AAO34720	5	252	12	0	386	41	246	0	294	12	253	50	90	216	7	0	20	5	41	819	575
TRINITY_DN387238_c5_g2	AAO34720	0	14	0	0	0	36	0	0	10	0	13	32	38	14	0	0	0	0	0	35	17
TRINITY_DN394733_c6_g1	AAO34720	0	19	0	0	0	58	0	0	0	0	21	26	86	0	0	5	0	0	0	26	5
TRINITY_DN385313_c1_g4	AAO43049	37	26	35	53	38	17	17	60	26	41	11	9	0	36	22	249	26	340	19	0	0
TRINITY_DN388089_c0_g4	AAO49325	0	0	0	26	0	0	7	0	0	0	0	9	8	0	7	0	0	0	0	0	0
TRINITY_DN391339_c4_g4	AAO49325	0	7	10	18	0	0	5	0	0	5	0	0	0	5	33	16	10	7	0	0	6
TRINITY_DN393725_c0_g2	AAO49325	63	35	184	396	106	83	109	83	62	161	123	167	78	128	30	28	38	38	38	0	0
TRINITY_DN394990_c2_g1	AAP36290	7	23	15	40	15	23	7	9	8	13	34	31	32	27	11	19	9	14	10	30	55
TRINITY_DN397923_c5_g3	AAP82507	0	38	0	0	19	85	30	0	85	0	104	241	202	110	0	5	0	0	39	193	154
TRINITY_DN397923_c5_g6	AAP82507	15	20	0	0	180	793	151	0	18	0	434	784	783	399	0	14	14	10	135	405	628
TRINITY_DN395098_c6_g3	AAQ20037	0	0	0	39	5	24	0	0	0	0	19	34	22	11	0	0	0	6	23	44	37
TRINITY_DN394500_c4_g5	AAQ54713	105	889	105	60	2812	3307	2665	5	1053	105	4903	4994	5482	4871	74	75	71	55	2107	5162	7179
TRINITY_DN392236_c0_g1	AAQ99153	66	72	200	23	14	43	80	79	102	167	65	89	42	75	57	32	69	19	35	5	5
TRINITY_DN385086_c11_g1	AAR37445	0	0	0	0	0	36	0	0	0	0	5	5	38	0	0	0	0	0	0	0	5
TRINITY_DN381122_c2_g9	AAS72894	108	270	133	196	126	189	83	115	280	212	416	154	190	221	110	119	111	150	203	122	247
TRINITY_DN381122_c2_g2	AAS72896	0	25	0	0	8	46	15	0	27	0	53	44	42	17	0	0	0	0	33	6	188
TRINITY_DN358998_c1_g1	AAS77238	0	0	0	0	0	16	0	0	0	0	8	8	5	0	0	0	0	0	10	0	0
TRINITY_DN384092_c0_g2	AAT67596	0	22	0	0	0	78	0	0	29	0	103	205	117	47	0	0	0	0	10	14	22
TRINITY_DN388827_c0_g1	AAT67597	0	7	0	0	0	8	0	0	19	0	15	5	12	0	0	0	0	0	0	39	16
TRINITY_DN389524_c2_g2	AAT67597	0	0	0	0	7	29	0	0	21	0	49	393	84	131	0	0	0	0	11	101	204
TRINITY_DN399996_c1_g6	AAT67597	0	7	0	0	0	0	0	0	0	0	11	21	0	0	0	0	5	0	0	5	0
TRINITY_DN386210_c1_g1	AAT67598	0	54	8	16	174	219	180	0	51	5	128	255	474	434	6	0	8	5	61	185	244
TRINITY_DN386903_c4_g2	AAT92157	141	198	238	1231	212	299	191	161	183	287	602	707	397	477	897	404	279	423	394	424	652
TRINITY_DN382846_c2_g3	AAU91204	0	0	5	0	0	0	5	0	0	11	0	10	0	0	0	0	0	6	0	7	0
TRINITY_DN385442_c9_g1	AAU91204	0	27	0	0	99	271	45	0	45	0	170	386	340	56	0	0	0	0	61	149	191
TRINITY_DN382286_c6_g1	AAU94666	191	170	347	996	155	142	91	248	143	438	362	157	59	275	166	280	429	196	190	273	288
TRINITY_DN385641_c7_g3	AAU94666	13	19	32	80	9	7	0	17	8	26	15	5	0	15	11	15	37	15	13	0	12
TRINITY_DN385755_c4_g1	AAU94666	26	20	20	125	35	30	26	23	14	37	88	50	37	27	30	32	55	37	62	62	92
TRINITY_DN390559_c4_g2	AAU94666	0	0	0	0	0	0	0	0	0	0	13	11	0	9	0	0	0	0	0	19	7
TRINITY_DN392300_c5_g7	AAU94666	0	0	0	0	11	25	0	0	0	0	7	24	13	13	0	0	0	0	0	44	0
TRINITY_DN380870_c3_g1	AAV34145	0	5	21	0	0	5	0	0	0	8	10	0	0	9	0	0	0	7	7	0	0
TRINITY_DN380870_c3_g3	AAV34145	0	16	16	8	0	0	0	6	5	0	0	0	5	7	6	8	7	0	0	0	0
TRINITY_DN383277_c2_g4	AAV34145	5	0	13	0	0	0	0	6	5	7	6	0	0	0	0	0	20	0	0	0	0
TRINITY_DN399667_c0_g2	AAW33887	0	0	0	0	0	0	0	0	6	0	0	0	6	0	26	13	0	0	0	0	6
TRINITY_DN389752_c5_g4	AAW40604	0	0	0	0	0	16	5	0	0	0	7	39	31	0	0	0	0	0	0	0	0
TRINITY_DN397344_c2_g1	AAW79333	0	0	0	0	0	0	12	5	0	7	0	0	5	0	20	17	6	5	0	0	0
TRINITY_DN393972_c2_g2	AAW79388	0	0	5	0	0	0	0	0	0	0	0	0	0	6	7	5	5	0	0	0	0
TRINITY_DN376364_c0_g2	AAW79395	0	6	5	13	0	0	6	0	0	15	0	0	0	0	26	0	14	11	0	0	0
TRINITY_DN385322_c3_g1	AAW79404	0	18	0	0	17	55	0	0	15	0	47	168	107	24	0	0	0	0	68	77	87
TRINITY_DN379763_c0_g1	AAW80673	0	6	25	11	0	0	0	0	0	10	0	5	0	0	59	24	26	0	0	0	0
TRINITY_DN395090_c2_g1	AAW80673	0	13	18	14	0	6	0	0	0	27	14	5	0	10	55	35	18	16	0	0	0
TRINITY_DN395090_c4_g5	AAW80673	0	0	25	19	0	5	0	0	0	6	0	0	6	5	26	25	15	6	0	0	0
TRINITY_DN354604_c0_g1	AAW84295	0	0	0	0	0	8	0	0	0	0	5	13	7	0	0	0	0	0	5	0	0
